model_id,model_label,family,architecture,params_b,quantization,precision_bits,hardware_profile,workload,score,is_correct,load_s,total_latency_s,tokens_per_sec,tokens_per_joule,active_tokens_per_joule,estimated_active_tokens_per_joule,active_device_energy_j,measured_active_device_energy_j,estimated_active_device_energy_j,cpu_energy_estimate_j,cpu_energy_measured_j,net_gpu_energy_j,total_energy_j,gpu_power_avg_w,gpu_mem_peak_mb,energy_sample_interval_s,energy_sample_frequency_hz,cost_per_request_usd,input_tokens,output_tokens,total_tokens,cpu_energy_source,gpu_energy_source,cpu_energy_measured,gpu_energy_measured
codellama-13b-q4,CodeLlama 13B Q4,CodeLlama,LLaMA,13.0,q4,4,l40s_gpu,chat_completion,0.7777777777777777,0.3333333333333333,0.021485165333333334,1.8002356489999631,81.23946369854953,0.23713063691430555,0.2783661081697169,,503.46943710325195,503.46943710325195,,31.769228473764844,,503.46943710325195,591.2716468927019,321.7633635477583,21536.625,0.10000000000000002,10.0,0.0007798486349834666,26.666666666666668,140.0,166.66666666666666,tdp_estimate,nvml,False,True
codellama-13b-q4,CodeLlama 13B Q4,CodeLlama,LLaMA,13.0,q4,4,l40s_gpu,code_generation,0.0,0.0,0.024084818,2.298485891000041,81.1586297293702,0.24181819763985618,0.2865843551307482,,628.2182333044063,628.2182333044063,,44.7027217864771,,628.2182333044063,744.458233954563,317.0005217391305,21536.625,0.1,10.0,0.00099511145836425,54.5,180.0,234.5,tdp_estimate,nvml,False,True
codellama-13b-q4,CodeLlama 13B Q4,CodeLlama,LLaMA,13.0,q4,4,l40s_gpu,semantic_search,1.0,1.0,0.024649880000000002,0.3514740913332541,83.54253838738485,0.22278849239735568,0.2740078901736142,,87.64804490828278,87.64804490828278,,9.224089239082224,,87.64804490828278,107.8222967153094,324.8913333333333,21536.625,0.10000000000000002,10.0,0.0001520144624746,143.0,24.0,167.0,tdp_estimate,nvml,False,True
codellama-13b-q4,CodeLlama 13B Q4,CodeLlama,LLaMA,13.0,q4,4,l40s_gpu,summarization,1.0,1.0,0.02114920766666667,1.9226252743333134,81.21454784962175,0.2337932782001255,0.27145348321867413,,552.6302900111588,552.6302900111588,,29.550207009086805,,552.6302900111588,642.0219914681721,321.3043666666667,21536.625,0.10000000000000002,10.0,0.0008333823763789,79.33333333333333,150.0,229.33333333333334,tdp_estimate,nvml,False,True
codellama-7b-fp16,CodeLlama 7B FP16,CodeLlama,LLaMA,7.0,fp16,16,l40s_gpu,chat_completion,0.5555555555555555,0.3333333333333333,0.02150479766666667,2.6935361363333263,53.58816907784276,0.1907179858458314,0.23581841310595655,,593.7241674232146,593.7241674232146,,57.38181594510874,,593.7241674232146,734.9356336202549,259.67832098765433,22098.625,0.10000000000000002,10.0,0.0011592309343199,26.666666666666668,140.0,166.66666666666666,tdp_estimate,nvml,False,True
codellama-7b-fp16,CodeLlama 7B FP16,CodeLlama,LLaMA,7.0,fp16,16,l40s_gpu,code_generation,0.0,0.0,0.0113783965,2.3824632074999954,26.76350908810902,0.09632667493889235,0.11712875697919174,,523.0016352037597,523.0016352037597,,34.44496878278483,,523.0016352037597,631.5958593236489,250.8157142857143,22098.625,0.1,10.0,0.00102444286463285,28.5,90.0,118.5,tdp_estimate,nvml,False,True
codellama-7b-fp16,CodeLlama 7B FP16,CodeLlama,LLaMA,7.0,fp16,16,l40s_gpu,semantic_search,1.0,1.0,0.025104409999999997,1.1722606976666914,55.259179384179305,0.1949440321926941,0.293759883631181,,127.99441886238252,127.99441886238252,,24.033710046628723,,127.99441886238252,188.5192923564172,180.62846153846155,22098.625,0.10000000000000002,10.0,0.0004980448787844334,143.0,24.0,167.0,tdp_estimate,nvml,False,True
codellama-7b-fp16,CodeLlama 7B FP16,CodeLlama,LLaMA,7.0,fp16,16,l40s_gpu,summarization,0.25,0.3333333333333333,0.025072001,2.8799760363332703,53.576385388338515,0.19334846910452078,0.23378349597950446,,641.6844664581312,641.6844664581312,,44.893850117464616,,641.6844664581312,776.2085291081888,260.2474137931035,22098.625,0.10000000000000002,10.0,0.0012389644633998,79.33333333333333,150.0,229.33333333333334,tdp_estimate,nvml,False,True
codellama-7b-q4,CodeLlama 7B Q4,CodeLlama,LLaMA,7.0,q4,4,cpu,chat_completion,0.7777777777777778,0.6666666666666666,0.022486552333333337,15.439289024000118,9.533607183124028,0.0922766872993364,,0.1347270954790699,,,1039.364982997188,1039.364982997188,,0.0,1517.4732345256489,31.066253500488894,610.4375,0.10000000000000002,10.0,0.0009336388301521667,26.666666666666668,140.0,166.66666666666666,tdp_estimate,nvml,False,True
codellama-7b-q4,CodeLlama 7B Q4,CodeLlama,LLaMA,7.0,q4,4,cpu,code_generation,0.5,0.5,0.021497625,20.207357172000002,9.45117373851204,0.0916327902937551,,0.13636276749457868,,,1320.0280056790664,1320.0280056790664,,15.518389517888238,1964.3647506272387,31.900023811881187,610.4375,0.1,10.0,0.0012208737446424,54.5,180.0,234.5,tdp_estimate,nvml,False,True
codellama-7b-q4,CodeLlama 7B Q4,CodeLlama,LLaMA,7.0,q4,4,cpu,semantic_search,1.0,1.0,0.02283763033333333,4.161202626999966,9.761684548317286,0.0675409670849454,,0.0981218627149643,,,297.3851388206682,297.3851388206682,,0.23692400200451877,425.1384998131868,31.210172413793103,610.4375,0.10000000000000002,10.0,0.00025245771886096667,143.0,24.0,167.0,tdp_estimate,nvml,False,True
codellama-7b-q4,CodeLlama 7B Q4,CodeLlama,LLaMA,7.0,q4,4,cpu,summarization,0.3333333333333333,0.3333333333333333,0.022499703,17.713809074666642,9.424070847511883,0.08677138473827417,,0.12712680890043063,,,1180.8984844410354,1180.8984844410354,,0.3564172189014319,1730.6251499174825,31.165604670225004,610.4375,0.10000000000000002,10.0,0.0010706534303106666,79.33333333333333,150.0,229.33333333333334,tdp_estimate,nvml,False,True
codellama-7b-q4,CodeLlama 7B Q4,CodeLlama,LLaMA,7.0,q4,4,l40s_gpu,chat_completion,0.3333333333333333,0.0,0.021715813833333333,1.0029890296666508,149.7944491638601,0.47624952192414544,0.5766378659026473,,243.7216086844279,243.7216086844279,,20.959088211160903,,243.7216086844279,295.9042336270169,293.01362878787876,13318.625,0.10000000000000002,10.0,0.00043288028140353336,26.666666666666668,140.0,166.66666666666666,tdp_estimate,nvml,False,True
codellama-7b-q4,CodeLlama 7B Q4,CodeLlama,LLaMA,7.0,q4,4,l40s_gpu,code_generation,0.2,0.2,0.2451358542,1.4944654541999172,149.67610266474293,0.4862349115949066,0.6329228179564861,,295.5125995983676,295.5125995983676,,28.801412286712768,,295.5125995983676,370.832706338481,262.751775,13318.225,0.1,10.0,0.00064142980398358,53.2,180.0,233.2,tdp_estimate,nvml,False,True
codellama-7b-q4,CodeLlama 7B Q4,CodeLlama,LLaMA,7.0,q4,4,l40s_gpu,semantic_search,1.0,1.0,0.022699411,1.2209976085000183,153.61292846045174,0.551199464221923,1.0065857382155554,,116.61204641087643,116.61204641087643,,21.601027832676106,,116.61204641087643,176.22104942265898,228.02376455026453,13318.625,0.10000000000000002,10.0,0.0005177401686516909,143.0,24.0,167.0,tdp_estimate,nvml,False,True
codellama-7b-q4,CodeLlama 7B Q4,CodeLlama,LLaMA,7.0,q4,4,l40s_gpu,summarization,0.3333333333333333,0.3333333333333333,0.023277965666666667,1.0667147586666488,149.77032150083767,0.46553891893727783,0.5592574062511081,,268.4450359192768,268.4450359192768,,21.15351917084077,,268.4450359192768,322.8054239013141,300.05642424242427,13318.625,0.10000000000000002,10.0,0.0004607822789728,79.33333333333333,150.0,229.33333333333334,tdp_estimate,nvml,False,True
codellama-7b-q8,CodeLlama 7B Q8,CodeLlama,LLaMA,7.0,q8,8,l40s_gpu,chat_completion,0.6666666666666666,0.3333333333333333,0.022509310333333334,1.586902689999988,92.40462145616686,0.31846004628389385,0.384978649594129,,363.66097527518286,363.66097527518286,,26.891947796160007,,363.66097527518286,439.94482064296244,274.2393541666667,16190.625,0.10000000000000002,10.0,0.0006833577754765332,26.666666666666668,140.0,166.66666666666666,tdp_estimate,nvml,False,True
codellama-7b-q8,CodeLlama 7B Q8,CodeLlama,LLaMA,7.0,q8,8,l40s_gpu,code_generation,0.0,0.0,0.0253777585,2.0286486239999704,92.22102087770136,0.30901659300447315,0.3765907336321445,,477.9881577429161,477.9881577429161,,42.44464226656268,,477.9881577429161,583.5725943143696,269.5275952380953,16190.625,0.1,10.0,0.000874624343674,54.5,180.0,234.5,tdp_estimate,nvml,False,True
