run_id,timestamp_utc,workload,item_id,repeat,provider,model,model_label,model_family,model_size,hardware_profile,hardware_label,input_tokens,output_tokens,total_tokens,request_wall_s,network_s,tokenization_s,inference_s,postprocess_s,decode_s,backend_overhead_s,total_latency_s,elapsed_s,cpu_energy_j,gpu_energy_j,total_energy_j,cpu_util_avg_pct,gpu_power_avg_w,gpu_power_peak_w,gpu_count,energy_source,api_cost_usd,energy_cost_usd,hardware_cost_usd,total_cost_usd,cost_per_1k_tokens_usd,energy_j_per_1k_tokens,parsed_label,is_correct,query,expected_doc_id,retrieved_ids,retrieved_expected,batch_size,vector_dim,active_device_energy_j,active_device_energy_j_per_1k_tokens,gpu_idle_power_w_used,net_gpu_energy_j
lightning_a100_qwen35,2026-05-11T09:45:47.512478+00:00,chat,chat_001,0,ollama_local,qwen3.5:0.8b,Qwen 3.5 0.8B,qwen3.5,0.8B,cpu,CPU / num_gpu=0,59,96,155,7.003047753000146,0.0026526900001462,0.177372244,6.823022819,1.9499998415994924e-06,4.146080782,2.676942037,7.003049702999988,7.0144683139999415,283.38852815320564,323.5246626123855,606.9131907655911,33.667142857142856,46.625571428571426,46.653,1,cpu:tdp_estimate_120w;gpu:nvml,0.0,3.0345659538279556e-05,0.0,3.0345659538279556e-05,0.000195778448634,3915.5689726812334,,,,,,,,,283.38852815320564,1828.3130848593912,46.69138954248366,0.0
lightning_a100_qwen35,2026-05-11T09:45:52.242120+00:00,chat,chat_002,0,ollama_local,qwen3.5:0.8b,Qwen 3.5 0.8B,qwen3.5,0.8B,cpu,CPU / num_gpu=0,52,96,148,4.715960859999996,0.0025216599999957,0.160201958,4.553237242,2.2900001113157487e-06,4.122110758,0.431126484,4.715963150000107,4.727008805999958,274.0739820649865,215.80039015394732,489.87437221893384,48.317021276595746,46.651978723404255,46.653,1,cpu:tdp_estimate_120w;gpu:nvml,0.0,2.449371861094669e-05,0.0,2.449371861094669e-05,0.0001654980987226,3309.9619744522556,,,,,,,,,274.0739820649865,1851.851230168828,46.69138954248366,0.0
lightning_a100_qwen35,2026-05-11T09:45:56.946941+00:00,chat,chat_003,0,ollama_local,qwen3.5:0.8b,Qwen 3.5 0.8B,qwen3.5,0.8B,cpu,CPU / num_gpu=0,54,96,150,4.692120965000186,0.0055684580001855,0.168295138,4.518257369,1.7509998997411458e-06,4.133988053,0.3842693159999992,4.692122716000085,4.7023158639999565,276.7122792343941,215.9586034554273,492.6708826898214,49.03829787234043,46.64891489361702,46.653,1,cpu:tdp_estimate_120w;gpu:nvml,0.0,2.4633544134491066e-05,0.0,2.4633544134491066e-05,0.0001642236275632,3284.472551265476,,,,,,,,,276.7122792343941,1844.748528229294,46.69138954248366,0.0
lightning_a100_qwen35,2026-05-11T09:46:01.649769+00:00,chat,chat_004,0,ollama_local,qwen3.5:0.8b,Qwen 3.5 0.8B,qwen3.5,0.8B,cpu,CPU / num_gpu=0,50,96,146,4.687774340000033,0.0023976170000326,0.153513409,4.531863314,2.029999905062141e-06,4.157324031,0.3745392829999998,4.687776369999938,4.700153010999884,276.66900681345277,215.72168723186928,492.3906940453221,49.0531914893617,46.61317021276596,46.653,1,cpu:tdp_estimate_120w;gpu:nvml,0.0,2.46195347022661e-05,0.0,2.46195347022661e-05,0.0001686269500155,3372.5390003104253,,,,,,,,,276.66900681345277,1894.993197352416,46.69138954248366,0.0
lightning_a100_qwen35,2026-05-11T09:46:06.445052+00:00,chat,chat_005,0,ollama_local,qwen3.5:0.8b,Qwen 3.5 0.8B,qwen3.5,0.8B,cpu,CPU / num_gpu=0,66,96,162,4.778275856999926,0.0025267999999263,0.244977443,4.530771614,1.8089999684889335e-06,4.137266074,0.3935055399999996,4.7782776659998945,4.7897709119999945,281.5187853527996,220.56763814957264,502.0864235023722,48.979166666666664,46.599999999999994,46.605,1,cpu:tdp_estimate_120w;gpu:nvml,0.0,2.510432117511861e-05,0.0,2.510432117511861e-05,0.0001549649455254,3099.2989105084707,,,,,,,,,281.5187853527996,1737.7702799555532,46.69138954248366,0.0
lightning_a100_qwen35,2026-05-11T09:46:11.187934+00:00,chat,chat_001,1,ollama_local,qwen3.5:0.8b,Qwen 3.5 0.8B,qwen3.5,0.8B,cpu,CPU / num_gpu=0,59,96,155,4.729537005000111,0.0024326380001111,0.170829617,4.55627475,2.009000127145555e-06,4.168675255,0.3875994949999999,4.729539014000238,4.740438019000067,279.40343404753156,215.76479327616704,495.1682273236986,49.11702127659574,46.605,46.605,1,cpu:tdp_estimate_120w;gpu:nvml,0.0,2.475841136618493e-05,0.0,2.475841136618493e-05,0.0001597316862334,3194.633724669023,,,,,,,,,279.40343404753156,1802.6028003066551,46.69138954248366,0.0
lightning_a100_qwen35,2026-05-11T09:46:16.016636+00:00,chat,chat_002,1,ollama_local,qwen3.5:0.8b,Qwen 3.5 0.8B,qwen3.5,0.8B,cpu,CPU / num_gpu=0,52,96,148,4.8148700009999175,0.0024811879999173,0.163850201,4.648538612,1.8000000636675395e-06,4.258024789,0.390513823,4.814871800999981,4.826229282999975,285.20601947888355,220.18264571780824,505.3886651966918,49.24583333333334,46.576,46.605,1,cpu:tdp_estimate_120w;gpu:nvml,0.0,2.526943325983459e-05,0.0,2.526943325983459e-05,0.0001707394139178,3414.788278356026,,,,,,,,,285.20601947888355,1927.0676991816456,46.69138954248366,0.0
lightning_a100_qwen35,2026-05-11T09:46:20.982975+00:00,chat,chat_003,1,ollama_local,qwen3.5:0.8b,Qwen 3.5 0.8B,qwen3.5,0.8B,cpu,CPU / num_gpu=0,54,96,150,4.952115612999933,0.0028973859999323,0.174263924,4.774954303,1.7410000054951524e-06,4.376416161,0.3985381420000005,4.952117353999938,4.963524155999949,291.50975909153937,229.5311425532581,521.0409016447975,48.942,46.58483999999999,46.605,1,cpu:tdp_estimate_120w;gpu:nvml,0.0,2.6052045082239873e-05,0.0,2.6052045082239873e-05,0.0001736803005482,3473.6060109653163,,,,,,,,,291.50975909153937,1943.3983939435957,46.69138954248366,0.0
lightning_a100_qwen35,2026-05-11T09:46:25.678599+00:00,chat,chat_004,1,ollama_local,qwen3.5:0.8b,Qwen 3.5 0.8B,qwen3.5,0.8B,cpu,CPU / num_gpu=0,50,96,146,4.682416633999992,0.0026179389999922,0.154723682,4.5250750129999995,2.008999899771879e-06,4.137663253,0.3874117599999991,4.682418642999892,4.693173104999914,275.97056114362476,215.6943792082884,491.6649403519132,49.00212765957447,46.59172340425531,46.605,1,cpu:tdp_estimate_120w;gpu:nvml,0.0,2.4583247017595657e-05,0.0,2.4583247017595657e-05,0.0001683784042301,3367.568084602145,,,,,,,,,275.97056114362476,1890.2093229015395,46.69138954248366,0.0
lightning_a100_qwen35,2026-05-11T09:46:30.473951+00:00,chat,chat_005,1,ollama_local,qwen3.5:0.8b,Qwen 3.5 0.8B,qwen3.5,0.8B,cpu,CPU / num_gpu=0,66,96,162,4.781974239999954,0.0026412029999542,0.236939427,4.5423936099999995,1.978999989660224e-06,4.145073103,0.3973205069999999,4.781976218999944,4.792851142000018,282.119200345976,220.2354100072467,502.3546103532227,49.052083333333336,46.613,46.701,1,cpu:tdp_estimate_120w;gpu:nvml,0.0,2.5117730517661137e-05,0.0,2.5117730517661137e-05,0.0001550477192448,3100.9543848964363,,,,,,,,,282.119200345976,1741.476545345531,46.69138954248366,0.0
