workload,model_label,model,hardware_profile,hardware_label,request_wall_s,network_s,tokenization_s,inference_s,postprocess_s,total_latency_s,input_tokens,output_tokens,total_tokens,cpu_energy_j,gpu_energy_j,total_energy_j,api_cost_usd,energy_cost_usd,hardware_cost_usd,total_cost_usd,cost_per_1k_tokens_usd,energy_j_per_1k_tokens,active_device_energy_j,active_device_energy_j_per_1k_tokens,accuracy,series_label
batch_embeddings,BGE-M3,bge-m3:latest,cpu,CPU / num_gpu=0,0.5999785511667142,0.0021458113333807836,0.0,0.5978327398333333,9.565000406534334e-07,0.5999795076667548,273.3333333333333,0.0,273.3333333333333,27.090771234460036,26.59628773253375,53.68705896699379,0.0,2.6843529483496896e-06,0.0,2.6843529483496896e-06,9.88506041245031e-06,197.7012082490062,27.090771234460036,98.67739676994488,,BGE-M3 | CPU / num_gpu=0
batch_embeddings,BGE-M3,bge-m3:latest,gpu,A100 40GB / Ollama GPU,0.23021759966673014,0.00197571650006345,0.0,0.2282418831666667,8.198333792582465e-07,0.23021841950010943,273.3333333333333,0.0,273.3333333333333,1.3240514550296074,8.476227364235399,9.800278819265007,0.0,4.900139409632503e-07,0.0,4.900139409632503e-07,1.7380159752346929e-06,34.76031950469386,8.476227364235399,29.746279252811032,,BGE-M3 | A100 40GB / Ollama GPU
batch_embeddings,Nomic Embed Text,nomic-embed-text:latest,cpu,CPU / num_gpu=0,0.2810608341667375,0.0019197211667374998,0.0,0.279141113,1.0101667461033987e-06,0.28106184433348363,235.0,0.0,235.0,8.43307342104284,11.767229160828371,20.20030258187121,0.0,1.0100151290935605e-06,0.0,1.0100151290935605e-06,4.472883666866373e-06,89.45767333732748,8.43307342104284,36.20697092509089,,Nomic Embed Text | CPU / num_gpu=0
batch_embeddings,Nomic Embed Text,nomic-embed-text:latest,gpu,A100 40GB / Ollama GPU,0.7512669646666836,0.0017654073333502832,0.0,0.7495015573333333,6.751667266750397e-07,0.7512676398334103,235.0,0.0,235.0,1.6291089655146251,48.73501131671347,50.36412028222809,0.0,2.518206014111404e-06,0.0,2.518206014111404e-06,1.2294617151756199e-05,245.89234303512396,48.73501131671347,237.92921679745461,,Nomic Embed Text | A100 40GB / Ollama GPU
batch_embeddings,mxbai Embed Large,mxbai-embed-large:latest,cpu,CPU / num_gpu=0,0.4547578356667448,0.0021235430000781166,0.0,0.45263429266666666,8.548333122841237e-07,0.45475869050005713,241.66666666666666,0.0,241.66666666666666,23.172722140061143,18.790992256542577,41.96371439660372,0.0,2.098185719830186e-06,0.0,2.098185719830186e-06,8.623465576756984e-06,172.4693115351397,23.172722140061143,94.94030659129538,,mxbai Embed Large | CPU / num_gpu=0
batch_embeddings,mxbai Embed Large,mxbai-embed-large:latest,gpu,A100 40GB / Ollama GPU,0.31940876999995754,0.0016604873332908335,0.0,0.31774828266666666,7.618333863016838e-07,0.3194095318333438,241.66666666666666,0.0,241.66666666666666,5.909270657072189,18.35597145738292,24.26524211445511,0.0,1.2132621057227554e-06,0.0,1.2132621057227554e-06,5.433730477468052e-06,108.67460954936108,18.35597145738292,83.6628590315962,,mxbai Embed Large | A100 40GB / Ollama GPU
chat,Gemma 3 4B,gemma3:4b,cpu,CPU / num_gpu=0,3.9298462259999725,0.00310171979997226,0.2794737851,3.6472707211,2.861000029952265e-06,3.9298490870000022,55.0,96.0,151.0,206.67449864265353,181.75987156385912,388.43437020651265,0.0,1.9421718510325635e-05,0.0,1.9421718510325635e-05,0.00012862103540175001,2572.4207080359256,206.67449864265353,1369.2802900543918,,Gemma 3 4B | CPU / num_gpu=0
chat,Gemma 3 4B,gemma3:4b,gpu,A100 40GB / Ollama GPU,1.3798264545000165,0.00269497260001651,0.016870665200000003,1.3602608166999999,1.8059000467474108e-06,1.3798282604000633,55.0,96.0,151.0,8.185150790069429,169.7258607437123,177.91101153378173,0.0,8.895550576689085e-06,0.0,8.895550576689085e-06,5.886669007468962e-05,1177.3338014939018,169.7258607437123,1123.2222020652116,,Gemma 3 4B | A100 40GB / Ollama GPU
chat,Llama 3.2 3B,llama3.2:3b,cpu,CPU / num_gpu=0,3.0204719709999153,0.0019981207999152,0.22575508979999998,2.7927187604,1.867099945229711e-06,3.0204738380998606,63.6,96.0,159.6,156.5259041184922,138.29535118850555,294.8212553069977,0.0,1.4741062765349887e-05,0.0,1.4741062765349887e-05,9.22893612037305e-05,1845.7872240746888,156.5259041184922,980.7669769272754,,Llama 3.2 3B | CPU / num_gpu=0
chat,Llama 3.2 3B,llama3.2:3b,gpu,A100 40GB / Ollama GPU,0.8336246055000629,0.00201496640006286,0.012749914900000001,0.8188597242,1.7809999917517416e-06,0.8336263865000546,63.6,96.0,159.6,3.833170512717183,103.78806538590057,107.62123589861774,0.0,5.381061794930887e-06,0.0,5.381061794930887e-06,3.369635551364142e-05,673.9271102728284,103.78806538590057,650.0125385341411,,Llama 3.2 3B | A100 40GB / Ollama GPU
