run_id,timestamp_utc,workload,item_id,repeat,provider,model,model_label,model_family,model_size,hardware_profile,hardware_label,input_tokens,output_tokens,total_tokens,request_wall_s,network_s,tokenization_s,inference_s,postprocess_s,decode_s,backend_overhead_s,total_latency_s,elapsed_s,cpu_energy_j,gpu_energy_j,total_energy_j,cpu_util_avg_pct,gpu_power_avg_w,gpu_power_peak_w,gpu_count,energy_source,api_cost_usd,energy_cost_usd,hardware_cost_usd,total_cost_usd,cost_per_1k_tokens_usd,energy_j_per_1k_tokens,parsed_label,is_correct,query,expected_doc_id,retrieved_ids,retrieved_expected,batch_size,vector_dim,active_device_energy_j,active_device_energy_j_per_1k_tokens
lightning_a100_mixed_families,2026-05-11T10:13:05.417605+00:00,chat,chat_001,0,docker_model_runner_local,llama3.2:3b,Llama 3.2 3B,llama3.2,3B,cpu,CPU / num_gpu=0,67,96,163,5.72052342500001,0.0017683350000101,0.47420327,5.24455182,2.2399999579647556e-06,2.222143668,3.0224081519999997,5.720525664999968,5.730735232999905,177.1460745813423,262.3957403149166,439.5418148962589,25.759649122807016,46.631947368421045,46.653,1,cpu:tdp_estimate;gpu:nvml,0.0,2.1977090744812943e-05,0.0,2.1977090744812943e-05,0.0001348287775755,2696.575551510791,,,,,,,,,177.1460745813423,1086.7857336278669
lightning_a100_mixed_families,2026-05-11T10:13:08.130973+00:00,chat,chat_002,0,docker_model_runner_local,llama3.2:3b,Llama 3.2 3B,llama3.2,3B,cpu,CPU / num_gpu=0,60,96,156,2.700038829999812,0.002034029999812,0.178976373,2.5190284270000003,2.500000391592039e-06,2.226699308,0.2923291190000001,2.7000413300002037,2.710847699000169,152.91590664760065,122.01761674141989,274.93352338902054,47.007407407407406,46.65299999999999,46.653,1,cpu:tdp_estimate;gpu:nvml,0.0,1.3746676169451028e-05,0.0,1.3746676169451028e-05,8.811971903494248e-05,1762.3943806988495,,,,,,,,,152.91590664760065,980.230170817953
lightning_a100_mixed_families,2026-05-11T10:13:11.038741+00:00,chat,chat_003,0,docker_model_runner_local,llama3.2:3b,Llama 3.2 3B,llama3.2,3B,cpu,CPU / num_gpu=0,62,96,158,2.893120118999832,0.0020949409998318,0.188329385,2.702695793,1.6799999684735667e-06,2.410809992,0.2918858010000003,2.8931217989998004,2.9038583149999795,166.08467433074364,131.30378541488437,297.388459745628,47.66206896551724,46.64968965517241,46.653,1,cpu:tdp_estimate;gpu:nvml,0.0,1.48694229872814e-05,0.0,1.48694229872814e-05,9.411027207140126e-05,1882.205441428025,,,,,,,,,166.08467433074364,1051.1688248781243
lightning_a100_mixed_families,2026-05-11T10:13:13.709974+00:00,chat,chat_004,0,docker_model_runner_local,llama3.2:3b,Llama 3.2 3B,llama3.2,3B,cpu,CPU / num_gpu=0,58,96,154,2.6579384500000742,0.002036939000074,0.165365829,2.490535682,1.7009997463901527e-06,2.199886842,0.2906488399999998,2.6579401509998206,2.668629927999973,150.1311894605496,121.8972304121747,272.02841987272427,46.88148148148148,46.620999999999995,46.653,1,cpu:tdp_estimate;gpu:nvml,0.0,1.3601420993636212e-05,0.0,1.3601420993636212e-05,8.83209155430923e-05,1766.4183108618458,,,,,,,,,150.1311894605496,974.8778536399324
lightning_a100_mixed_families,2026-05-11T10:13:16.606160+00:00,chat,chat_005,0,docker_model_runner_local,llama3.2:3b,Llama 3.2 3B,llama3.2,3B,cpu,CPU / num_gpu=0,71,96,167,2.8828287080000337,0.0019820890000334,0.252405403,2.628441216,1.8099999579135329e-06,2.336817535,0.2916236810000003,2.8828305179999916,2.893711599999733,165.67197392108815,131.08921101513127,296.7611849362194,47.710344827586205,46.58513793103448,46.605,1,cpu:tdp_estimate;gpu:nvml,0.0,1.483805924681097e-05,0.0,1.483805924681097e-05,8.885065417252078e-05,1777.0130834504157,,,,,,,,,165.67197392108815,992.047748030468
lightning_a100_mixed_families,2026-05-11T10:13:19.277052+00:00,chat,chat_001,1,docker_model_runner_local,llama3.2:3b,Llama 3.2 3B,llama3.2,3B,cpu,CPU / num_gpu=0,67,96,163,2.657474359999924,0.0020292989999237,0.21533275,2.440112311,1.469999915570952e-06,2.158669243,0.2814430680000002,2.6574758299998393,2.6683979240001463,150.49764291360825,121.70626994273044,272.20391285633866,47.0,46.56411111111111,46.605,1,cpu:tdp_estimate;gpu:nvml,0.0,1.3610195642816934e-05,0.0,1.3610195642816934e-05,8.3498132778018e-05,1669.96265556036,,,,,,,,,150.49764291360825,923.2984227828726
lightning_a100_mixed_families,2026-05-11T10:13:21.934473+00:00,chat,chat_002,1,docker_model_runner_local,llama3.2:3b,Llama 3.2 3B,llama3.2,3B,cpu,CPU / num_gpu=0,60,96,156,2.644192743000076,0.0020822810000757,0.17832454,2.463785922,1.9300000531075057e-06,2.186040078,0.277745844,2.644194673000129,2.65498060300024,149.76450583679576,121.82860671242,271.5931125492158,47.007407407407406,46.61388888888889,46.653,1,cpu:tdp_estimate;gpu:nvml,0.0,1.357965562746079e-05,0.0,1.357965562746079e-05,8.704907453500505e-05,1740.9814907001012,,,,,,,,,149.76450583679576,960.0288835692036
lightning_a100_mixed_families,2026-05-11T10:13:24.599640+00:00,chat,chat_003,1,docker_model_runner_local,llama3.2:3b,Llama 3.2 3B,llama3.2,3B,cpu,CPU / num_gpu=0,62,96,158,2.6526707779999015,0.0019293879999016,0.188203223,2.462538167,1.7100001059588976e-06,2.177018079,0.2855200879999997,2.652672488000007,2.6627219930001047,148.87574520862808,121.87993481549864,270.7556800241267,46.592592592592595,46.64944444444444,46.653,1,cpu:tdp_estimate;gpu:nvml,0.0,1.3537784001206336e-05,0.0,1.3537784001206336e-05,8.568217722282491e-05,1713.643544456498,,,,,,,,,148.87574520862808,942.2515519533422
lightning_a100_mixed_families,2026-05-11T10:13:27.281133+00:00,chat,chat_004,1,docker_model_runner_local,llama3.2:3b,Llama 3.2 3B,llama3.2,3B,cpu,CPU / num_gpu=0,58,96,154,2.6683445119997486,0.0020500989997485,0.165853538,2.500440875,1.8799996723828372e-06,2.202118425,0.2983224500000001,2.668346391999421,2.6790571410001576,149.55092307094213,121.99543848790432,271.54636155884646,46.51851851851852,46.654777777777774,46.701,1,cpu:tdp_estimate;gpu:nvml,0.0,1.3577318077942322e-05,0.0,1.3577318077942322e-05,8.816440310352157e-05,1763.2880620704314,,,,,,,,,149.55092307094213,971.1098900710529
lightning_a100_mixed_families,2026-05-11T10:13:30.022139+00:00,chat,chat_005,1,docker_model_runner_local,llama3.2:3b,Llama 3.2 3B,llama3.2,3B,cpu,CPU / num_gpu=0,71,96,167,2.7275877849997414,0.0019738069997412,0.250556587,2.475057391,1.749999682942871e-06,2.187493674,0.2875637169999998,2.7275895349994244,2.7385831600004167,154.62040521362354,126.83967802797504,281.46008324159857,47.05,46.66157142857143,46.701,1,cpu:tdp_estimate;gpu:nvml,0.0,1.4073004162079929e-05,0.0,1.4073004162079929e-05,8.42694860004786e-05,1685.389720009572,,,,,,,,,154.62040521362354,925.8706899019373
