workload,model_label,model,hardware_profile,hardware_label,request_wall_s,network_s,tokenization_s,inference_s,postprocess_s,total_latency_s,input_tokens,output_tokens,total_tokens,cpu_energy_j,gpu_energy_j,total_energy_j,api_cost_usd,energy_cost_usd,hardware_cost_usd,total_cost_usd,cost_per_1k_tokens_usd,energy_j_per_1k_tokens,active_device_energy_j,active_device_energy_j_per_1k_tokens,accuracy,series_label
batch_embeddings,Qwen3 Embed 0.6B,qwen3-embedding:0.6b,cpu,CPU / num_gpu=0,0.6412552721665937,0.002008311333260283,0.0,0.6392469608333333,9.133332241617609e-07,0.6412561854998179,229.66666666666666,0.0,229.66666666666666,23.974558164316733,27.37124244992718,51.34580061424392,0.0,2.567290030712196e-06,0.0,2.567290030712196e-06,1.1728460912093023e-05,234.56921824186045,23.974558164316733,106.27238085239794,,Qwen3 Embed 0.6B | CPU / num_gpu=0
batch_embeddings,Qwen3 Embed 0.6B,qwen3-embedding:0.6b,gpu,A100 40GB / Docker Model Runner GPU,0.35144903966670427,0.0019295558333708833,0.0,0.3495194838333333,6.820000635343604e-07,0.3514497216667678,229.66666666666666,0.0,229.66666666666666,1.6735066691040437,24.487802725336508,26.161309394440554,0.0,1.3080654697220274e-06,0.0,1.3080654697220274e-06,6.499866928803074e-06,129.9973385760615,24.487802725336508,121.81168086713213,,Qwen3 Embed 0.6B | A100 40GB / Docker Model Runner GPU
batch_embeddings,Qwen3 Embed 4B,qwen3-embedding:4b,cpu,CPU / num_gpu=0,2.65394912100002,0.0026393273333534997,0.0,2.6513097936666665,8.250000670765681e-07,2.6539499460000875,229.66666666666666,0.0,229.66666666666666,152.36337251983866,121.12608440774379,273.48945692758247,0.0,1.3674472846379122e-05,0.0,1.3674472846379122e-05,6.047198788576271e-05,1209.4397577152545,152.36337251983866,670.0462781087541,,Qwen3 Embed 4B | CPU / num_gpu=0
batch_embeddings,Qwen3 Embed 4B,qwen3-embedding:4b,gpu,A100 40GB / Docker Model Runner GPU,0.4891485843334067,0.002433030000073317,0.0,0.4867155543333333,7.781666984859233e-07,0.4891493625001051,229.66666666666666,0.0,229.66666666666666,2.462648599600326,29.439668586313505,31.902317185913834,0.0,1.5951158592956918e-06,0.0,1.5951158592956918e-06,7.920589673178212e-06,158.41179346356424,29.439668586313505,146.19392049681423,,Qwen3 Embed 4B | A100 40GB / Docker Model Runner GPU
chat,Qwen 3.5 0.8B,qwen3.5:0.8b,cpu,CPU / num_gpu=0,4.983809326800019,0.00287375790001934,0.1804967043,4.800438864599999,1.9367999811947812e-06,4.983811263600001,56.2,96.0,152.2,280.6571555726394,229.29813523659703,509.95529080923643,0.0,2.549776454046182e-05,0.0,2.549776454046182e-05,0.00016766695946350001,3353.339189270681,280.6571555726394,1846.243108224445,,Qwen 3.5 0.8B | CPU / num_gpu=0
chat,Qwen 3.5 0.8B,qwen3.5:0.8b,gpu,A100 40GB / Docker Model Runner GPU,1.1099115458999678,0.00264772979996764,0.0375211563,1.0697426598,2.0559000859066144e-06,1.1099136018000535,56.2,96.0,152.2,8.456830781114851,88.05003665012019,96.50686743123505,0.0,4.8253433715617515e-06,0.0,4.8253433715617515e-06,3.1645674263993535e-05,632.9134852798708,88.05003665012019,577.8021433560571,,Qwen 3.5 0.8B | A100 40GB / Docker Model Runner GPU
chat,Qwen 3.5 4B,qwen3.5:4b,cpu,CPU / num_gpu=0,12.34969668870001,0.00292959310000974,0.7639155766,11.582851518999998,1.9577999864850427e-06,12.349698646499997,56.2,96.0,152.2,751.7644919541942,573.637002860601,1325.4014948147953,0.0,6.627007474073976e-05,0.0,6.627007474073976e-05,0.00043576737217395,8715.347443479914,751.7644919541942,4944.252272235752,,Qwen 3.5 4B | CPU / num_gpu=0
chat,Qwen 3.5 4B,qwen3.5:4b,gpu,A100 40GB / Docker Model Runner GPU,1.5101393653001196,0.00311828750011959,0.0434660754,1.4635550024000001,2.1792999632452847e-06,1.5101415446000828,56.2,96.0,152.2,9.24008875415392,190.20046277641262,199.44055153056655,0.0,9.972027576528328e-06,0.0,9.972027576528328e-06,6.545113104504388e-05,1309.0226209009525,190.20046277641262,1248.4122988012687,,Qwen 3.5 4B | A100 40GB / Docker Model Runner GPU
chat,Qwen 3.5 9B,qwen3.5:9b,cpu,CPU / num_gpu=0,14.606734515200014,0.00324924990001434,1.1832278953,13.420257369999998,4.482899953472952e-06,14.606738998099967,56.2,96.0,152.2,899.421424909529,679.0156161928076,1578.4370411023365,0.0,7.892185205511684e-05,0.0,7.892185205511684e-05,0.0005189337612051,10378.675224103008,899.421424909529,5914.721106641616,,Qwen 3.5 9B | CPU / num_gpu=0
chat,Qwen 3.5 9B,qwen3.5:9b,gpu,A100 40GB / Docker Model Runner GPU,1.6886527011999533,0.00257770579995328,0.0692719282,1.6168030672,2.182100024583633e-06,1.688654883299978,56.2,96.0,152.2,12.507829107291851,274.13515673847735,286.6429858457692,0.0,1.433214929228846e-05,0.0,1.433214929228846e-05,9.416127255432404e-05,1883.2254510865246,274.13515673847735,1801.0581630396596,,Qwen 3.5 9B | A100 40GB / Docker Model Runner GPU
